"Kod portu 
";Data przybycia (rrrr-mm-dd);"Godzina przybycia
(hh:mm)";"Kod portu, 
z którego jednostka przyp³ynê³a ";Nazwa statku;Bandera;nr IMO ;Sygna³ wywo³awczy;"Pojemnoœæ brutto 
(tony)";D³ugoœæ (metry);Agent;Nabrze¿e (miejsce zacumowania)
PLKOL;2014-02-18;11:45:00;DKAAR;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2014-02-23;22:30:00;PLWLA;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-02-26;11:59:00;DEWIS;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-02-27;06:30:00;DERSK;MIA B;Germany;6713283;DHFD;1064;68.40;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2014-03-02;01:00:00;PLNOW;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-03-10;09:05:00;SEDJN;STERNO;Sweden;7035420;SLCU;1300;75.70;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-03-10;22:40:00;PLWLA;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-03-16;15:10:00;SEMON;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-03-18;19:00:00;PLSZZ;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-03-21;01:00:00;LTKLJ;BOMAR MOON;Antigua and Barbuda;9390393;V2QC3;2010;81.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Wêglowe
PLKOL;2014-03-26;14:35:00;PLPLC;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2014-03-29;06:30:00;SESOL;MIA B;Germany;6713283;DHFD;10640;68.40;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-03-30;20:30:00;PLWLA;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-04-01;06:45:00;SEUDD;STERNO;Sweden;7035420;SLCU;1300;75.70;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-04-02;18:00:00;DKKOL;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-04-05;17:30:00;PLNOW;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-04-08;22:00:00;DEWIS;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-04-10;12:15:00;DKRNN;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2014-04-15;16:00:00;DKKAL;STERNO;Sweden;7035420;SLCU;1300;75.70;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-04-22;06:30:00;NOHLV;TORPO;Barbados;8908791;8PAK3;3422;88.15;POSEIDON FRACHTCONTOR JUNGE Sp. z o.o.;Wêglowe
PLKOL;2014-04-23;07:04:00;PLGDN;HALICZ;Poland;7615749;SQFZ;694;60.77;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-04-23;21:00:00;DEWIS;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-04-24;06:40:00;DKAAR;TRAVEBERG;Antigua and Barbuda;8104541;V2DQ8;1939;87.95;AHLMANN ZERSSEN Sp. z o.o.;Zbo¿owe
PLKOL;2014-04-26;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-04-29;00:20:00;NOHLV;SLETRINGEN;Saint Vincent and the Grenadines;9052666;J8B3396;1598;81.70;POSEIDON FRACHTCONTOR JUNGE Sp. z o.o.;Wêglowe
PLKOL;2014-04-29;10:45:00;SEHEL;STERNO;Sweden;7035420;SLCU;1300;75.70;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-04-30;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-01;09:30:00;PLGDN;HALICZ;Poland;7615749;SQFZ;694;60.00;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-05-01;11:00:00;DKKOG;LISBETH;Norway;7233668;LARQ2;875;74.93;NORDTECHNIK;S³upskie
PLKOL;2014-05-01;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-02;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-03;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-04;22:00:00;PLDAR;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-05;12:30:00;NOEKF;TORPO;Barbados;8908791;8PAK3;1986;88.15;RENTRANS CARGO Sp. z o.o.;Wêglowe
PLKOL;2014-05-06;22:00:00;SESOL;FALKBRIS;Malta;9006291;9HA2257;2449;87.91;NORDTECHNIK;S³upskie
PLKOL;2014-05-08;01:15:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-10;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-14;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-13;06:20:00;FIJOE;CARISMA;Finland;8402589;OJMY;1473;79.10;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2014-05-14;08:30:00;DEHAM;TRAVEBERG;Antigua and Barbuda;8104541;V2DQ8;1939;87.95;AHLMANN ZERSSEN Sp. z o.o.;Zbo¿owe
PLKOL;2014-05-15;06:45:00;DKFAK;SDK SPAIN;Denmark;8602000;OYES2;1525;74.33;KOSIOR SHIPPING COMPANY Sp. z o.o.;Wêglowe
PLKOL;2014-05-15;23:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-16;12:00:00;SEMMA;FAXBORG;Togo;6810158;5VAQ6;924;53.90;RENTRANS CARGO Sp. z o.o.;Zbo¿owe
PLKOL;2014-05-17;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-18;08:45:00;PLGDN;HALICZ;Poland;7615749;SQFZ;694;60.00;Oktan Energy & V/L Service;Kamienne
PLKOL;2014-05-19;15:45:00;LTKLJ;HAV MARLIN;Bahamas;9073892;C6XF7;1990;88.00;Wilhelmsen Ships Service Polska Sp. z o.o. ;Zbo¿owe
PLKOL;2014-05-20;18:30:00;DKKOL;LIFANA;Netherlands;8315449;PFOC;1116;79.80;Morska Agencja Szczecin Ltd.;Wêglowe
PLKOL;2014-05-21;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-24;22:00:00;DKNEX;JANTAR;Poland;8418708;SPS2512;572;37.85;Ko³obrzeska Zegluga Pasazerska Sp. z o.o.;Wêglowe
PLKOL;2014-05-26;06:35:00;DKFAK;SDK SPAIN;Denmark;8602000;OYES2;1525;74.33;Albers-Hansen Sp. z o.o.;Wêglowe
